name,host,datastore,ip,gateway,datastore2
nuvm01,192.168.199.201,ntnx-ds1,192.168.199.121,192.168.199.1,
nuvm02,192.168.199.201,ntnx-ds1,192.168.199.122,192.168.199.1,
nuvm03,192.168.199.201,ntnx-ds1,192.168.199.123,192.168.199.1,
nuvm04,192.168.199.201,ntnx-ds1,192.168.199.124,192.168.199.1,
nuvm05,192.168.199.201,ntnx-ds1,192.168.199.125,192.168.199.1,
nuvm06,192.168.199.201,ntnx-ds1,192.168.199.126,192.168.199.1,
nuvm07,192.168.199.201,ntnx-ds1,192.168.199.127,192.168.199.1,
nuvm08,192.168.199.201,ntnx-ds1,192.168.199.128,192.168.199.1,
nuvm09,192.168.199.201,ntnx-ds1,192.168.199.129,192.168.199.1,
nuvm10,192.168.199.201,ntnx-ds1,192.168.199.130,192.168.199.1,
nuvm11,192.168.199.201,ntnx-ds1,192.168.199.131,192.168.199.1,
nuvm12,192.168.199.201,ntnx-ds1,192.168.199.132,192.168.199.1,
nuvm13,192.168.199.201,ntnx-ds1,192.168.199.133,192.168.199.1,
nuvm14,192.168.199.201,ntnx-ds1,192.168.199.134,192.168.199.1,
nuvm15,192.168.199.201,ntnx-ds1,192.168.199.135,192.168.199.1,
nuvm16,192.168.199.201,ntnx-ds1,192.168.199.136,192.168.199.1,
nuvm17,192.168.199.201,ntnx-ds1,192.168.199.137,192.168.199.1,
nuvm18,192.168.199.201,ntnx-ds1,192.168.199.138,192.168.199.1,
nuvm21,192.168.199.204,ntnx-ds1,192.168.199.141,192.168.199.1,
nuvm22,192.168.199.204,ntnx-ds1,192.168.199.142,192.168.199.1,
nuvm23,192.168.199.204,ntnx-ds1,192.168.199.143,192.168.199.1,
nuvm24,192.168.199.204,ntnx-ds1,192.168.199.144,192.168.199.1,
nuvm25,192.168.199.204,ntnx-ds1,192.168.199.145,192.168.199.1,
nuvm26,192.168.199.204,ntnx-ds1,192.168.199.146,192.168.199.1,
nuvm27,192.168.199.204,ntnx-ds1,192.168.199.147,192.168.199.1,
nuvm28,192.168.199.204,ntnx-ds1,192.168.199.148,192.168.199.1,
nuvm29,192.168.199.204,ntnx-ds1,192.168.199.149,192.168.199.1,
nuvm30,192.168.199.204,ntnx-ds1,192.168.199.150,192.168.199.1,
nuvm31,192.168.199.204,ntnx-ds1,192.168.199.151,192.168.199.1,
nuvm32,192.168.199.204,ntnx-ds1,192.168.199.152,192.168.199.1,
nuvm33,192.168.199.204,ntnx-ds1,192.168.199.153,192.168.199.1,
nuvm34,192.168.199.204,ntnx-ds1,192.168.199.154,192.168.199.1,
nuvm35,192.168.199.204,ntnx-ds1,192.168.199.155,192.168.199.1,
nuvm36,192.168.199.204,ntnx-ds1,192.168.199.156,192.168.199.1,
nuvm37,192.168.199.204,ntnx-ds1,192.168.199.157,192.168.199.1,
nuvm38,192.168.199.204,ntnx-ds1,192.168.199.158,192.168.199.1,
nuvm41,192.168.199.207,ntnx-ds1,192.168.199.161,192.168.199.1,
nuvm42,192.168.199.207,ntnx-ds1,192.168.199.162,192.168.199.1,
nuvm43,192.168.199.207,ntnx-ds1,192.168.199.163,192.168.199.1,
nuvm44,192.168.199.207,ntnx-ds1,192.168.199.164,192.168.199.1,
nuvm45,192.168.199.207,ntnx-ds1,192.168.199.165,192.168.199.1,
nuvm46,192.168.199.207,ntnx-ds1,192.168.199.166,192.168.199.1,
nuvm47,192.168.199.207,ntnx-ds1,192.168.199.167,192.168.199.1,
nuvm48,192.168.199.207,ntnx-ds1,192.168.199.168,192.168.199.1,
nuvm49,192.168.199.207,ntnx-ds1,192.168.199.169,192.168.199.1,
nuvm50,192.168.199.207,ntnx-ds1,192.168.199.170,192.168.199.1,
nuvm51,192.168.199.207,ntnx-ds1,192.168.199.171,192.168.199.1,
nuvm52,192.168.199.207,ntnx-ds1,192.168.199.172,192.168.199.1,
nuvm53,192.168.199.207,ntnx-ds1,192.168.199.173,192.168.199.1,
nuvm54,192.168.199.207,ntnx-ds1,192.168.199.174,192.168.199.1,
nuvm55,192.168.199.207,ntnx-ds1,192.168.199.175,192.168.199.1,
nuvm56,192.168.199.207,ntnx-ds1,192.168.199.176,192.168.199.1,
nuvm57,192.168.199.207,ntnx-ds1,192.168.199.177,192.168.199.1,
nuvm58,192.168.199.207,ntnx-ds1,192.168.199.178,192.168.199.1,
nuvm61,192.168.199.210,ntnx-ds1,192.168.199.181,192.168.199.1,
nuvm62,192.168.199.210,ntnx-ds1,192.168.199.182,192.168.199.1,
nuvm63,192.168.199.210,ntnx-ds1,192.168.199.183,192.168.199.1,
nuvm64,192.168.199.210,ntnx-ds1,192.168.199.184,192.168.199.1,
nuvm65,192.168.199.210,ntnx-ds1,192.168.199.185,192.168.199.1,
nuvm66,192.168.199.210,ntnx-ds1,192.168.199.186,192.168.199.1,
nuvm67,192.168.199.210,ntnx-ds1,192.168.199.187,192.168.199.1,
nuvm68,192.168.199.210,ntnx-ds1,192.168.199.188,192.168.199.1,
nuvm69,192.168.199.210,ntnx-ds1,192.168.199.189,192.168.199.1,
