ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
,d20-s1-pm1,d20-s1-pm1.virt.daumkakao.io,datacenter20,d20-s01-cluster,datastore20-s1-pm1,,,,,,,,d20-s01-cluster
,d20-s1-pm2,d20-s1-pm2.virt.daumkakao.io,datacenter20,d20-s01-cluster,datastore20-s1-pm2,,,,,,,,d20-s02-cluster
,d20-s1-pm3,d20-s1-pm3.virt.daumkakao.io,datacenter20,d20-s01-cluster,datastore20-s1-pm3,,,,,,,,d20-s03-cluster
,d20-s1-pm4,d20-s1-pm4.virt.daumkakao.io,datacenter20,d20-s01-cluster,datastore20-s1-pm4,,,,,,,,d20-s04-cluster
,d20-s2-pm1,d20-s2-pm1.virt.daumkakao.io,datacenter20,d20-s02-cluster,datastore20-s2-pm1,,,,,,,,d20-s05-cluster
,d20-s2-pm2,d20-s2-pm2.virt.daumkakao.io,datacenter20,d20-s02-cluster,datastore20-s2-pm2,,,,,,,,d20-s06-cluster
,d20-s2-pm3,d20-s2-pm3.virt.daumkakao.io,datacenter20,d20-s02-cluster,datastore20-s2-pm3,,,,,,,,d20-s07-cluster
,d20-s2-pm4,d20-s2-pm4.virt.daumkakao.io,datacenter20,d20-s02-cluster,datastore20-s2-pm4,,,,,,,,d20-s08-cluster
,d20-s3-pm1,d20-s3-pm1.virt.daumkakao.io,datacenter20,d20-s03-cluster,datastore20-s3-pm1,,,,,,,,d20-s09-cluster
,d20-s3-pm2,d20-s3-pm2.virt.daumkakao.io,datacenter20,d20-s03-cluster,datastore20-s3-pm2,,,,,,,,d20-s10-cluster
,d20-s3-pm3,d20-s3-pm3.virt.daumkakao.io,datacenter20,d20-s03-cluster,datastore20-s3-pm3,,,,,,,,d20-s11-cluster
,d20-s3-pm4,d20-s3-pm4.virt.daumkakao.io,datacenter20,d20-s03-cluster,datastore20-s3-pm4,,,,,,,,d20-s12-cluster
,d20-s4-pm1,d20-s4-pm1.virt.daumkakao.io,datacenter20,d20-s04-cluster,datastore20-s4-pm1,,,,,,,,d20-s13-cluster
,d20-s4-pm2,d20-s4-pm2.virt.daumkakao.io,datacenter20,d20-s04-cluster,datastore20-s4-pm2,,,,,,,,d20-s14-cluster
,d20-s4-pm3,d20-s4-pm3.virt.daumkakao.io,datacenter20,d20-s04-cluster,datastore20-s4-pm3,,,,,,,,
,d20-s4-pm4,d20-s4-pm4.virt.daumkakao.io,datacenter20,d20-s04-cluster,datastore20-s4-pm4,,,,,,,,
,d20-s5-pm1,d20-s5-pm1.virt.daumkakao.io,datacenter20,d20-s05-cluster,datastore20-s5-pm1,,,,,,,,
,d20-s5-pm2,d20-s5-pm2.virt.daumkakao.io,datacenter20,d20-s05-cluster,datastore20-s5-pm2,,,,,,,,
,d20-s5-pm3,d20-s5-pm3.virt.daumkakao.io,datacenter20,d20-s05-cluster,datastore20-s5-pm3,,,,,,,,
,d20-s5-pm4,d20-s5-pm4.virt.daumkakao.io,datacenter20,d20-s05-cluster,datastore20-s5-pm4,,,,,,,,
,d20-s6-pm1,d20-s6-pm1.virt.daumkakao.io,datacenter20,d20-s06-cluster,datastore20-s6-pm1,,,,,,,,
,d20-s6-pm2,d20-s6-pm2.virt.daumkakao.io,datacenter20,d20-s06-cluster,datastore20-s6-pm2,,,,,,,,
,d20-s6-pm3,d20-s6-pm3.virt.daumkakao.io,datacenter20,d20-s06-cluster,datastore20-s6-pm3,,,,,,,,
,d20-s6-pm4,d20-s6-pm4.virt.daumkakao.io,datacenter20,d20-s06-cluster,datastore20-s6-pm4,,,,,,,,
,d20-s7-pm1,d20-s7-pm1.virt.daumkakao.io,datacenter20,d20-s07-cluster,datastore20-s7-pm1,,,,,,,,
,d20-s7-pm2,d20-s7-pm2.virt.daumkakao.io,datacenter20,d20-s07-cluster,datastore20-s7-pm2,,,,,,,,
,d20-s7-pm3,d20-s7-pm3.virt.daumkakao.io,datacenter20,d20-s07-cluster,datastore20-s7-pm3,,,,,,,,
,d20-s7-pm4,d20-s7-pm4.virt.daumkakao.io,datacenter20,d20-s07-cluster,datastore20-s7-pm4,,,,,,,,
,d20-s8-pm1,d20-s8-pm1.virt.daumkakao.io,datacenter20,d20-s08-cluster,datastore20-s8-pm1,,,,,,,,
,d20-s8-pm2,d20-s8-pm2.virt.daumkakao.io,datacenter20,d20-s08-cluster,datastore20-s8-pm2,,,,,,,,
,d20-s8-pm3,d20-s8-pm3.virt.daumkakao.io,datacenter20,d20-s08-cluster,datastore20-s8-pm3,,,,,,,,
,d20-s8-pm4,d20-s8-pm4.virt.daumkakao.io,datacenter20,d20-s08-cluster,datastore20-s8-pm4,,,,,,,,
,d20-s9-pm1,d20-s9-pm1.virt.daumkakao.io,datacenter20,d20-s09-cluster,datastore20-s9-pm1,,,,,,,,
,d20-s9-pm2,d20-s9-pm2.virt.daumkakao.io,datacenter20,d20-s09-cluster,datastore20-s9-pm2,,,,,,,,
,d20-s9-pm3,d20-s9-pm3.virt.daumkakao.io,datacenter20,d20-s09-cluster,datastore20-s9-pm3,,,,,,,,
,d20-s9-pm4,d20-s9-pm4.virt.daumkakao.io,datacenter20,d20-s09-cluster,datastore20-s9-pm4,,,,,,,,
,d20-s10-pm1,d20-s10-pm1.virt.daumkakao.io,datacenter20,d20-s10-cluster,datastore20-s10-pm1,,,,,,,,
,d20-s10-pm2,d20-s10-pm2.virt.daumkakao.io,datacenter20,d20-s10-cluster,datastore20-s10-pm2,,,,,,,,
,d20-s10-pm3,d20-s10-pm3.virt.daumkakao.io,datacenter20,d20-s10-cluster,datastore20-s10-pm3,,,,,,,,
,d20-s10-pm4,d20-s10-pm4.virt.daumkakao.io,datacenter20,d20-s10-cluster,datastore20-s10-pm4,,,,,,,,
,d20-s11-pm1,d20-s11-pm1.virt.daumkakao.io,datacenter20,d20-s11-cluster,datastore20-s11-pm1,,,,,,,,
,d20-s11-pm2,d20-s11-pm2.virt.daumkakao.io,datacenter20,d20-s11-cluster,datastore20-s11-pm2,,,,,,,,
,d20-s11-pm3,d20-s11-pm3.virt.daumkakao.io,datacenter20,d20-s11-cluster,datastore20-s11-pm3,,,,,,,,
,d20-s11-pm4,d20-s11-pm4.virt.daumkakao.io,datacenter20,d20-s11-cluster,datastore20-s11-pm4,,,,,,,,
,d20-s12-pm1,d20-s12-pm1.virt.daumkakao.io,datacenter20,d20-s12-cluster,datastore20-s12-pm1,,,,,,,,
,d20-s12-pm2,d20-s12-pm2.virt.daumkakao.io,datacenter20,d20-s12-cluster,datastore20-s12-pm2,,,,,,,,
,d20-s12-pm3,d20-s12-pm3.virt.daumkakao.io,datacenter20,d20-s12-cluster,datastore20-s12-pm3,,,,,,,,
,d20-s12-pm4,d20-s12-pm4.virt.daumkakao.io,datacenter20,d20-s12-cluster,datastore20-s12-pm4,,,,,,,,
,d20-s13-pm3,d20-s13-pm3.virt.daumkakao.io,datacenter20,d20-s13-cluster,datastore20-s13-pm3,,,,,,,,
,d20-s13-pm4,d20-s13-pm4.virt.daumkakao.io,datacenter20,d20-s13-cluster,datastore20-s13-pm4,,,,,,,,
,d20-s14-pm1,d20-s14-pm1.virt.daumkakao.io,datacenter20,d20-s14-cluster,datastore20-s14-pm1,,,,,,,,
,d20-s14-pm2,d20-s14-pm2.virt.daumkakao.io,datacenter20,d20-s14-cluster,datastore20-s14-pm2,,,,,,,,
,d20-s14-pm3,d20-s14-pm3.virt.daumkakao.io,datacenter20,d20-s14-cluster,datastore20-s14-pm3,,,,,,,,
,d20-s14-pm4,d20-s14-pm4.virt.daumkakao.io,datacenter20,d20-s14-cluster,datastore20-s14-pm4,,,,,,,,
