ipaddr,hname,alias,location,cluster,localds,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
,,d40-s1-pm1.virt.daumkakao.io,,d40-s01-cluster,,,,,,,,,d40-s01-cluster
,,d40-s1-pm2.virt.daumkakao.io,,d40-s01-cluster,,,,,,,,,d40-s02-cluster
,,d40-s1-pm3.virt.daumkakao.io,,d40-s01-cluster,,,,,,,,,d40-s03-cluster
,,d40-s1-pm4.virt.daumkakao.io,,d40-s01-cluster,,,,,,,,,d40-s04-cluster
,,d40-s2-pm1.virt.daumkakao.io,,d40-s02-cluster,,,,,,,,,d40-s05-cluster
,,d40-s2-pm2.virt.daumkakao.io,,d40-s02-cluster,,,,,,,,,d40-s06-cluster
,,d40-s2-pm3.virt.daumkakao.io,,d40-s02-cluster,,,,,,,,,d40-s07-cluster
,,d40-s2-pm4.virt.daumkakao.io,,d40-s02-cluster,,,,,,,,,d40-s08-cluster
,,d40-s3-pm1.virt.daumkakao.io,,d40-s03-cluster,,,,,,,,,d40-s09-cluster
,,d40-s3-pm2.virt.daumkakao.io,,d40-s03-cluster,,,,,,,,,d40-s10-cluster
,,d40-s3-pm3.virt.daumkakao.io,,d40-s03-cluster,,,,,,,,,d40-s11-cluster
,,d40-s3-pm4.virt.daumkakao.io,,d40-s03-cluster,,,,,,,,,d40-s12-cluster
,,d40-s4-pm1.virt.daumkakao.io,,d40-s04-cluster,,,,,,,,,d40-s13-cluster
,,d40-s4-pm2.virt.daumkakao.io,,d40-s04-cluster,,,,,,,,,
,,d40-s4-pm3.virt.daumkakao.io,,d40-s04-cluster,,,,,,,,,
,,d40-s4-pm4.virt.daumkakao.io,,d40-s04-cluster,,,,,,,,,
,,d40-s5-pm1.virt.daumkakao.io,,d40-s05-cluster,,,,,,,,,
,,d40-s5-pm2.virt.daumkakao.io,,d40-s05-cluster,,,,,,,,,
,,d40-s5-pm3.virt.daumkakao.io,,d40-s05-cluster,,,,,,,,,
,,d40-s5-pm4.virt.daumkakao.io,,d40-s05-cluster,,,,,,,,,
,,d40-s6-pm1.virt.daumkakao.io,,d40-s06-cluster,,,,,,,,,
,,d40-s6-pm2.virt.daumkakao.io,,d40-s06-cluster,,,,,,,,,
,,d40-s6-pm3.virt.daumkakao.io,,d40-s06-cluster,,,,,,,,,
,,d40-s6-pm4.virt.daumkakao.io,,d40-s06-cluster,,,,,,,,,
,,d40-s7-pm1.virt.daumkakao.io,,d40-s07-cluster,,,,,,,,,
,,d40-s7-pm2.virt.daumkakao.io,,d40-s07-cluster,,,,,,,,,
,,d40-s7-pm3.virt.daumkakao.io,,d40-s07-cluster,,,,,,,,,
,,d40-s7-pm4.virt.daumkakao.io,,d40-s07-cluster,,,,,,,,,
,,d40-s8-pm1.virt.daumkakao.io,,d40-s08-cluster,,,,,,,,,
,,d40-s8-pm2.virt.daumkakao.io,,d40-s08-cluster,,,,,,,,,
,,d40-s8-pm3.virt.daumkakao.io,,d40-s08-cluster,,,,,,,,,
,,d40-s8-pm4.virt.daumkakao.io,,d40-s08-cluster,,,,,,,,,
,,d40-s9-pm1.virt.daumkakao.io,,d40-s09-cluster,,,,,,,,,
,,d40-s9-pm2.virt.daumkakao.io,,d40-s09-cluster,,,,,,,,,
,,d40-s9-pm3.virt.daumkakao.io,,d40-s09-cluster,,,,,,,,,
,,d40-s9-pm4.virt.daumkakao.io,,d40-s09-cluster,,,,,,,,,
,,d40-s10-pm1.virt.daumkakao.io,,d40-s10-cluster,,,,,,,,,
,,d40-s10-pm2.virt.daumkakao.io,,d40-s10-cluster,,,,,,,,,
,,d40-s10-pm3.virt.daumkakao.io,,d40-s10-cluster,,,,,,,,,
,,d40-s10-pm4.virt.daumkakao.io,,d40-s10-cluster,,,,,,,,,
,,d40-s11-pm1.virt.daumkakao.io,,d40-s11-cluster,,,,,,,,,
,,d40-s11-pm2.virt.daumkakao.io,,d40-s11-cluster,,,,,,,,,
,,d40-s11-pm3.virt.daumkakao.io,,d40-s11-cluster,,,,,,,,,
,,d40-s11-pm4.virt.daumkakao.io,,d40-s11-cluster,,,,,,,,,
,,d40-s12-pm1.virt.daumkakao.io,,d40-s12-cluster,,,,,,,,,
,,d40-s12-pm2.virt.daumkakao.io,,d40-s12-cluster,,,,,,,,,
,,d40-s12-pm3.virt.daumkakao.io,,d40-s12-cluster,,,,,,,,,
,,d40-s12-pm4.virt.daumkakao.io,,d40-s12-cluster,,,,,,,,,
,,d40-s13-pm1.virt.daumkakao.io,,d40-s13-cluster,,,,,,,,,
,,d40-s13-pm2.virt.daumkakao.io,,d40-s13-cluster,,,,,,,,,
,,d40-s13-pm3.virt.daumkakao.io,,d40-s13-cluster,,,,,,,,,
,,d40-s13-pm4.virt.daumkakao.io,,d40-s13-cluster,,,,,,,,,
