ipaddr,hname,halias,location,cluster,localds,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
10.28.160.21,d50-s1-pm1,d50-s1-pm1.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm1,,,,,,,10.28.161.21,d50-s1-cluster
10.28.160.22,d50-s1-pm2,d50-s1-pm2.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm2,,,,,,,10.28.161.22,d50-s2-cluster
10.28.160.23,d50-s1-pm3,d50-s1-pm3.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm3,,,,,,,10.28.161.23,d50-s3-cluster
10.28.160.24,d50-s1-pm4,d50-s1-pm4.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm4,,,,,,,10.28.161.24,d50-s4-cluster
10.28.160.25,d50-s1-pm5,d50-s1-pm5.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm5,,,,,,,10.28.161.25,d50-s5-cluster
10.28.160.26,d50-s1-pm6,d50-s1-pm6.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm6,,,,,,,10.28.161.26,d50-s6-cluster
10.28.160.27,d50-s1-pm7,d50-s1-pm7.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm7,,,,,,,10.28.161.27,d50-s7-cluster
10.28.160.28,d50-s1-pm8,d50-s1-pm8.virt.daumcorp.com,datacenter50,d50-s1-cluster,datastore50-s1-pm8,,,,,,,10.28.161.28,d50-s8-cluster
10.28.160.31,d50-s2-pm1,d50-s2-pm1.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm1,,,,,,,10.28.161.31,d50-s9-cluster
10.28.160.32,d50-s2-pm2,d50-s2-pm2.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm2,,,,,,,10.28.161.32,d50-s10-cluster
10.28.160.33,d50-s2-pm3,d50-s2-pm3.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm3,,,,,,,10.28.161.33,d50-s11-cluster
10.28.160.34,d50-s2-pm4,d50-s2-pm4.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm4,,,,,,,10.28.161.34,d50-s12-cluster
10.28.160.35,d50-s2-pm5,d50-s2-pm5.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm5,,,,,,,10.28.161.35,d50-s13-cluster
10.28.160.36,d50-s2-pm6,d50-s2-pm6.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm6,,,,,,,10.28.161.36,
10.28.160.37,d50-s2-pm7,d50-s2-pm7.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm7,,,,,,,10.28.161.37,
10.28.160.38,d50-s2-pm8,d50-s2-pm8.virt.daumcorp.com,datacenter50,d50-s2-cluster,datastore50-s2-pm8,,,,,,,10.28.161.38,
10.28.160.41,d50-s3-pm1,d50-s3-pm1.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm1,,,,,,,10.28.161.41,
10.28.160.42,d50-s3-pm2,d50-s3-pm2.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm2,,,,,,,10.28.161.42,
10.28.160.43,d50-s3-pm3,d50-s3-pm3.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm3,,,,,,,10.28.161.43,
10.28.160.44,d50-s3-pm4,d50-s3-pm4.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm4,,,,,,,10.28.161.44,
10.28.160.45,d50-s3-pm5,d50-s3-pm5.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm5,,,,,,,10.28.161.45,
10.28.160.46,d50-s3-pm6,d50-s3-pm6.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm6,,,,,,,10.28.161.46,
10.28.160.47,d50-s3-pm7,d50-s3-pm7.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm7,,,,,,,10.28.161.47,
10.28.160.48,d50-s3-pm8,d50-s3-pm8.virt.daumcorp.com,datacenter50,d50-s3-cluster,datastore50-s3-pm8,,,,,,,10.28.161.48,
10.28.160.51,d50-s4-pm1,d50-s4-pm1.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm1,,,,,,,10.28.161.51,
10.28.160.52,d50-s4-pm2,d50-s4-pm2.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm2,,,,,,,10.28.161.52,
10.28.160.53,d50-s4-pm3,d50-s4-pm3.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm3,,,,,,,10.28.161.53,
10.28.160.54,d50-s4-pm4,d50-s4-pm4.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm4,,,,,,,10.28.161.54,
10.28.160.55,d50-s4-pm5,d50-s4-pm5.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm5,,,,,,,10.28.161.55,
10.28.160.56,d50-s4-pm6,d50-s4-pm6.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm6,,,,,,,10.28.161.56,
10.28.160.57,d50-s4-pm7,d50-s4-pm7.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm7,,,,,,,10.28.161.57,
10.28.160.58,d50-s4-pm8,d50-s4-pm8.virt.daumcorp.com,datacenter50,d50-s4-cluster,datastore50-s4-pm8,,,,,,,10.28.161.58,
10.28.160.61,d50-s5-pm1,d50-s5-pm1.virt.daumcorp.com,datacenter50,d50-s5-cluster,datastore50-s5-pm1,,,,,,,10.28.161.61,
