ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName
10.161.240.21,d70-s1-pm1,d70-s1-pm1.virt.daumkakao.io,datacenter70,d70-s01-cluster,datastore70-s1-pm1,10.61.238.21,10.61.239.21,10.61.238.151,10.61.239.151,10.61.238.181,10.61.239.181,10.161.243.21,/vmfs/volumes/d70-s1-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.22,d70-s1-pm2,d70-s1-pm2.virt.daumkakao.io,datacenter70,d70-s01-cluster,datastore70-s1-pm2,10.61.238.22,10.61.239.22,10.61.238.151,10.61.239.151,10.61.238.181,10.61.239.181,10.161.243.22,/vmfs/volumes/d70-s1-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.23,d70-s1-pm3,d70-s1-pm3.virt.daumkakao.io,datacenter70,d70-s01-cluster,datastore70-s1-pm3,10.61.238.23,10.61.239.23,10.61.238.151,10.61.239.151,10.61.238.181,10.61.239.181,10.161.243.23,/vmfs/volumes/d70-s1-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.24,d70-s1-pm4,d70-s1-pm4.virt.daumkakao.io,datacenter70,d70-s01-cluster,datastore70-s1-pm4,10.61.238.24,10.61.239.24,10.61.238.151,10.61.239.151,10.61.238.181,10.61.239.181,10.161.243.24,/vmfs/volumes/d70-s1-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.25,d70-s2-pm1,d70-s2-pm1.virt.daumkakao.io,datacenter70,d70-s02-cluster,datastore70-s2-pm1,10.61.238.25,10.61.239.25,10.61.238.152,10.61.239.152,10.61.238.182,10.61.239.182,10.161.243.25,/vmfs/volumes/d70-s2-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.26,d70-s2-pm2,d70-s2-pm2.virt.daumkakao.io,datacenter70,d70-s02-cluster,datastore70-s2-pm2,10.61.238.26,10.61.239.26,10.61.238.152,10.61.239.152,10.61.238.182,10.61.239.182,10.161.243.26,/vmfs/volumes/d70-s2-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.27,d70-s2-pm3,d70-s2-pm3.virt.daumkakao.io,datacenter70,d70-s02-cluster,datastore70-s2-pm3,10.61.238.27,10.61.239.27,10.61.238.152,10.61.239.152,10.61.238.182,10.61.239.182,10.161.243.27,/vmfs/volumes/d70-s2-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.28,d70-s2-pm4,d70-s2-pm4.virt.daumkakao.io,datacenter70,d70-s02-cluster,datastore70-s2-pm4,10.61.238.28,10.61.239.28,10.61.238.152,10.61.239.152,10.61.238.182,10.61.239.182,10.161.243.28,/vmfs/volumes/d70-s2-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.29,d70-s3-pm1,d70-s3-pm1.virt.daumkakao.io,datacenter70,d70-s03-cluster,datastore70-s3-pm1,10.61.238.29,10.61.239.29,10.61.238.153,10.61.239.153,10.61.238.183,10.61.239.183,10.161.243.29,/vmfs/volumes/d70-s3-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.30,d70-s3-pm2,d70-s3-pm2.virt.daumkakao.io,datacenter70,d70-s03-cluster,datastore70-s3-pm2,10.61.238.30,10.61.239.30,10.61.238.153,10.61.239.153,10.61.238.183,10.61.239.183,10.161.243.30,/vmfs/volumes/d70-s3-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
