ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName,clstlist
10.93.114.21,d80-s1-pm1,d80-s1-pm1.virt.onkakao.net,datacenter80,d80-s01-cluster,datastore80-s1-pm1,10.93.112.21,10.93.113.21,10.93.112.151,10.93.113.151,10.93.112.181,10.93.113.181,10.93.115.21,/vmfs/volumes/d80-s1-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s01-cluster
10.93.114.22,d80-s1-pm2,d80-s1-pm2.virt.onkakao.net,datacenter80,d80-s01-cluster,datastore80-s1-pm2,10.93.112.22,10.93.113.22,10.93.112.151,10.93.113.151,10.93.112.181,10.93.113.181,10.93.115.22,/vmfs/volumes/d80-s1-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s02-cluster
10.93.114.23,d80-s1-pm3,d80-s1-pm3.virt.onkakao.net,datacenter80,d80-s01-cluster,datastore80-s1-pm3,10.93.112.23,10.93.113.23,10.93.112.151,10.93.113.151,10.93.112.181,10.93.113.181,10.93.115.23,/vmfs/volumes/d80-s1-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s03-cluster
10.93.114.24,d80-s1-pm4,d80-s1-pm4.virt.onkakao.net,datacenter80,d80-s01-cluster,datastore80-s1-pm4,10.93.112.24,10.93.113.24,10.93.112.151,10.93.113.151,10.93.112.181,10.93.113.181,10.93.115.24,/vmfs/volumes/d80-s1-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s04-cluster
10.93.114.25,d80-s2-pm1,d80-s2-pm1.virt.onkakao.net,datacenter80,d80-s02-cluster,datastore80-s2-pm1,10.93.112.25,10.93.113.25,10.93.112.152,10.93.113.152,10.93.112.182,10.93.113.182,10.93.115.25,/vmfs/volumes/d80-s2-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s05-cluster
10.93.114.26,d80-s2-pm2,d80-s2-pm2.virt.onkakao.net,datacenter80,d80-s02-cluster,datastore80-s2-pm2,10.93.112.26,10.93.113.26,10.93.112.152,10.93.113.152,10.93.112.182,10.93.113.182,10.93.115.26,/vmfs/volumes/d80-s2-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s06-cluster
10.93.114.27,d80-s2-pm3,d80-s2-pm3.virt.onkakao.net,datacenter80,d80-s02-cluster,datastore80-s2-pm3,10.93.112.27,10.93.113.27,10.93.112.152,10.93.113.152,10.93.112.182,10.93.113.182,10.93.115.27,/vmfs/volumes/d80-s2-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s07-cluster
10.93.114.28,d80-s2-pm4,d80-s2-pm4.virt.onkakao.net,datacenter80,d80-s02-cluster,datastore80-s2-pm4,10.93.112.28,10.93.113.28,10.93.112.152,10.93.113.152,10.93.112.182,10.93.113.182,10.93.115.28,/vmfs/volumes/d80-s2-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s08-cluster
10.93.114.29,d80-s3-pm1,d80-s3-pm1.virt.onkakao.net,datacenter80,d80-s03-cluster,datastore80-s3-pm1,10.93.112.29,10.93.113.29,10.93.112.153,10.93.113.153,10.93.112.183,10.93.113.183,10.93.115.29,/vmfs/volumes/d80-s3-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s09-cluster
10.93.114.30,d80-s3-pm2,d80-s3-pm2.virt.onkakao.net,datacenter80,d80-s03-cluster,datastore80-s3-pm2,10.93.112.30,10.93.113.30,10.93.112.153,10.93.113.153,10.93.112.183,10.93.113.183,10.93.115.30,/vmfs/volumes/d80-s3-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s10-cluster
10.93.114.31,d80-s3-pm3,d80-s3-pm3.virt.onkakao.net,datacenter80,d80-s03-cluster,datastore80-s3-pm3,10.93.112.31,10.93.113.31,10.93.112.153,10.93.113.153,10.93.112.183,10.93.113.183,10.93.115.31,/vmfs/volumes/d80-s3-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s11-cluster
10.93.114.32,d80-s3-pm4,d80-s3-pm4.virt.onkakao.net,datacenter80,d80-s03-cluster,datastore80-s3-pm4,10.93.112.32,10.93.113.32,10.93.112.153,10.93.113.153,10.93.112.183,10.93.113.183,10.93.115.32,/vmfs/volumes/d80-s3-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s12-cluster
10.93.114.33,d80-s4-pm1,d80-s4-pm1.virt.onkakao.net,datacenter80,d80-s04-cluster,datastore80-s4-pm1,10.93.112.33,10.93.113.33,10.93.112.154,10.93.113.154,10.93.112.184,10.93.113.184,10.93.115.33,/vmfs/volumes/d80-s4-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s13-cluster
10.93.114.34,d80-s4-pm2,d80-s4-pm2.virt.onkakao.net,datacenter80,d80-s04-cluster,datastore80-s4-pm2,10.93.112.34,10.93.113.34,10.93.112.154,10.93.113.154,10.93.112.184,10.93.113.184,10.93.115.34,/vmfs/volumes/d80-s4-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s14-cluster
10.93.114.35,d80-s4-pm3,d80-s4-pm3.virt.onkakao.net,datacenter80,d80-s04-cluster,datastore80-s4-pm3,10.93.112.35,10.93.113.35,10.93.112.154,10.93.113.154,10.93.112.184,10.93.113.184,10.93.115.35,/vmfs/volumes/d80-s4-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s15-cluster
10.93.114.36,d80-s4-pm4,d80-s4-pm4.virt.onkakao.net,datacenter80,d80-s04-cluster,datastore80-s4-pm4,10.93.112.36,10.93.113.36,10.93.112.154,10.93.113.154,10.93.112.184,10.93.113.184,10.93.115.36,/vmfs/volumes/d80-s4-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s16-cluster
10.93.114.37,d80-s5-pm1,d80-s5-pm1.virt.onkakao.net,datacenter80,d80-s05-cluster,datastore80-s5-pm1,10.93.112.37,10.93.113.37,10.93.112.155,10.93.113.155,10.93.112.185,10.93.113.185,10.93.115.37,/vmfs/volumes/d80-s5-lun1/,VMware-VMvisor-Installer-7.0.0.update02-17867351.x86_64-DellEMC_Customized-A05.zip,d80-s17-cluster
