datacenter,cluster
datacenter80,d80-s01-cluster
datacenter80,d80-s02-cluster
datacenter80,d80-s03-cluster
datacenter80,d80-s04-cluster
datacenter80,d80-s05-cluster
datacenter80,d80-s06-cluster
datacenter80,d80-s07-cluster
datacenter80,d80-s08-cluster
datacenter80,d80-s09-cluster
datacenter80,d80-s10-cluster
datacenter80,d80-s11-cluster
datacenter80,d80-s12-cluster
datacenter80,d80-s13-cluster
datacenter80,d80-s14-cluster
datacenter80,d80-s15-cluster
datacenter80,d80-s16-cluster
datacenter80,d80-s17-cluster
datacenter80,d80-s18-cluster
datacenter80,d80-s19-cluster
datacenter80,d80-s20-cluster
datacenter80,d80-s21-cluster
datacenter80,d80-s22-cluster
datacenter80,d80-s23-cluster
datacenter80,d80-s24-cluster
datacenter80,d80-s25-cluster
