ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName
10.5.47.14,infra-fzone-mpm1,infra-fzone-mpm1.virt.daumkakao.io,,,fzone-local-mpm1,,,,,,,10.158.60.11,,
10.5.47.15,infra-fzone-mpm2,infra-fzone-mpm2.virt.daumkakao.io,,,fzone-local-mpm2,,,,,,,10.158.60.12,,
10.5.47.97,infra-fzone-mpm3,infra-fzone-mpm3.virt.daumkakao.io,,,fzone-local-mpm3,,,,,,,10.158.60.13,,
10.5.47.98,infra-fzone-mpm4,infra-fzone-mpm4.virt.daumkakao.io,,,fzone-local-mpm4,,,,,,,10.158.60.14,,
10.5.47.99,infra-fzone-mpm5,infra-fzone-mpm5.virt.daumkakao.io,,,fzone-local-mpm5,,,,,,,10.158.60.15,,
10.5.47.100,infra-fzone-mpm6,infra-fzone-mpm6.virt.daumkakao.io,,,fzone-local-mpm6,,,,,,,10.158.60.16,,
10.49.4.67,infra-szone-gpm1,infra-szone-gpm1.virt.daumkakao.io,datacenter-szone,,szone-local-gpm1,,,,,,,10.141.203.11,,
10.49.4.99,infra-szone-gpm2,infra-szone-gpm2.virt.daumkakao.io,,,szone-local-gpm2,,,,,,,10.141.203.12,,
10.49.4.83,infra-szone-gpm3,infra-szone-gpm3.virt.daumkakao.io,,,szone-local-gpm3,,,,,,,10.141.203.13,,
10.49.4.14,infra-szone-gpm4,infra-szone-gpm4.virt.daumkakao.io,,,szone-local-gpm4,,,,,,,10.141.203.14,,
10.49.4.136,infra-szone-gpm5,infra-szone-gpm5.virt.daumkakao.io,,,szone-local-gpm5,,,,,,,10.141.203.15,,
10.49.4.137,infra-szone-gpm6,infra-szone-gpm6.virt.daumkakao.io,,,szone-local-gpm6,,,,,,,10.141.203.16,,
10.49.4.138,infra-szone-gpm7,infra-szone-gpm7.virt.daumkakao.io,,,szone-local-gpm7,,,,,,,10.141.203.17,,
10.49.4.139,infra-szone-gpm8,infra-szone-gpm8.virt.daumkakao.io,,,szone-local-gpm8,,,,,,,10.141.203.18,,
10.49.4.140,infra-szone-gpm9,infra-szone-gpm9.virt.daumkakao.io,,,szone-local-gpm9,,,,,,,10.141.203.19,,
10.49.4.141,infra-szone-gpm10,infra-szone-gpm10.virt.daumkakao.io,,,szone-local-gpm10,,,,,,,10.141.203.20,,
