name,host,datastore,ip,gateway,datastore1
d50-s8p1-vm1,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.11,10.28.169.1,data8
d50-s8p1-vm2,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.12,10.28.169.1,data8
d50-s8p1-vm3,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.13,10.28.169.1,data8
d50-s8p1-vm4,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.14,10.28.169.1,data8
d50-s8p1-vm5,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.15,10.28.169.1,data8
d50-s8p1-vm6,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.16,10.28.169.1,data8
d50-s8p1-vm7,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.17,10.28.169.1,data8
d50-s8p1-vm8,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.18,10.28.169.1,data8
d50-s8p1-vm9,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.19,10.28.169.1,data8
d50-s8p1-vm10,d50-s8-pm1.virt.daumcorp.com,d50-s8-lun1,10.28.169.20,10.28.169.1,data8
d50-s8p2-vm1,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.31,10.28.169.1,data8
d50-s8p2-vm2,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.32,10.28.169.1,data8
d50-s8p2-vm3,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.33,10.28.169.1,data8
d50-s8p2-vm4,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.34,10.28.169.1,data8
d50-s8p2-vm5,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.35,10.28.169.1,data8
d50-s8p2-vm6,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.36,10.28.169.1,data8
d50-s8p2-vm7,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.37,10.28.169.1,data8
d50-s8p2-vm8,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.38,10.28.169.1,data8
d50-s8p2-vm9,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.39,10.28.169.1,data8
d50-s8p2-vm10,d50-s8-pm2.virt.daumcorp.com,d50-s8-lun2,10.28.169.40,10.28.169.1,data8
d50-s8p3-vm1,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.51,10.28.169.1,data8
d50-s8p3-vm2,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.52,10.28.169.1,data8
d50-s8p3-vm3,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.53,10.28.169.1,data8
d50-s8p3-vm4,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.54,10.28.169.1,data8
d50-s8p3-vm5,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.55,10.28.169.1,data8
d50-s8p3-vm6,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.56,10.28.169.1,data8
d50-s8p3-vm7,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.57,10.28.169.1,data8
d50-s8p3-vm8,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.58,10.28.169.1,data8
d50-s8p3-vm9,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.59,10.28.169.1,data8
d50-s8p3-vm10,d50-s8-pm3.virt.daumcorp.com,d50-s8-lun3,10.28.169.60,10.28.169.1,data8
d50-s8p4-vm1,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.71,10.28.169.1,data8
d50-s8p4-vm2,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.72,10.28.169.1,data8
d50-s8p4-vm3,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.73,10.28.169.1,data8
d50-s8p4-vm4,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.74,10.28.169.1,data8
d50-s8p4-vm5,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.75,10.28.169.1,data8
d50-s8p4-vm6,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.76,10.28.169.1,data8
d50-s8p4-vm7,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.77,10.28.169.1,data8
d50-s8p4-vm8,d50-s8-pm4.virt.daumcorp.com,d50-s8-lun4,10.28.169.78,10.28.169.1,data8
