vm,ds,host,ip,gateway
d80-s1pm1-vm01,d80-s1-lun1,d80-s1-pm1,10.93.96.21,10.93.96.1
d80-s1pm1-vm02,d80-s1-lun1,d80-s1-pm1,10.93.96.22,10.93.96.1
d80-s1pm1-vm03,d80-s1-lun1,d80-s1-pm1,10.93.96.23,10.93.96.1
d80-s1pm1-vm04,d80-s1-lun1,d80-s1-pm1,10.93.96.24,10.93.96.1
d80-s1pm1-vm05,d80-s1-lun1,d80-s1-pm1,10.93.96.25,10.93.96.1
d80-s1pm1-vm06,d80-s1-lun1,d80-s1-pm1,10.93.96.26,10.93.96.1
d80-s1pm1-vm07,d80-s1-lun1,d80-s1-pm1,10.93.96.27,10.93.96.1
d80-s1pm1-vm08,d80-s1-lun1,d80-s1-pm1,10.93.96.28,10.93.96.1
d80-s1pm1-vm09,d80-s1-lun1,d80-s1-pm1,10.93.96.29,10.93.96.1
d80-s1pm1-vm10,d80-s1-lun1,d80-s1-pm1,10.93.96.30,10.93.96.1
d80-s1pm1-vm11,d80-s1-lun1,d80-s1-pm1,10.93.96.31,10.93.96.1
d80-s1pm1-vm12,d80-s1-lun1,d80-s1-pm1,10.93.96.32,10.93.96.1
d80-s1pm1-vm13,d80-s1-lun1,d80-s1-pm1,10.93.96.33,10.93.96.1
d80-s1pm1-vm14,d80-s1-lun1,d80-s1-pm1,10.93.96.34,10.93.96.1
d80-s1pm1-vm15,d80-s1-lun1,d80-s1-pm1,10.93.96.35,10.93.96.1
d80-s1pm1-vm16,d80-s1-lun1,d80-s1-pm1,10.93.96.36,10.93.96.1
d80-s1pm1-vm17,d80-s1-lun1,d80-s1-pm1,10.93.96.37,10.93.96.1
d80-s1pm1-vm18,d80-s1-lun1,d80-s1-pm1,10.93.96.38,10.93.96.1
d80-s1pm1-vm19,d80-s1-lun1,d80-s1-pm1,10.93.96.39,10.93.96.1
d80-s1pm1-vm20,d80-s1-lun1,d80-s1-pm1,10.93.96.40,10.93.96.1
d80-s1pm2-vm01,d80-s1-lun2,d80-s1-pm1,10.93.96.41,10.93.96.1
d80-s1pm2-vm02,d80-s1-lun2,d80-s1-pm2,10.93.96.42,10.93.96.1
d80-s1pm2-vm03,d80-s1-lun2,d80-s1-pm2,10.93.96.43,10.93.96.1
d80-s1pm2-vm04,d80-s1-lun2,d80-s1-pm2,10.93.96.44,10.93.96.1
d80-s1pm2-vm05,d80-s1-lun2,d80-s1-pm2,10.93.96.45,10.93.96.1
d80-s1pm2-vm06,d80-s1-lun2,d80-s1-pm2,10.93.96.46,10.93.96.1
d80-s1pm2-vm07,d80-s1-lun2,d80-s1-pm2,10.93.96.47,10.93.96.1
d80-s1pm2-vm08,d80-s1-lun2,d80-s1-pm2,10.93.96.48,10.93.96.1
d80-s1pm2-vm09,d80-s1-lun2,d80-s1-pm2,10.93.96.49,10.93.96.1
d80-s1pm2-vm10,d80-s1-lun2,d80-s1-pm2,10.93.96.50,10.93.96.1
d80-s1pm2-vm11,d80-s1-lun2,d80-s1-pm2,10.93.96.51,10.93.96.1
d80-s1pm2-vm12,d80-s1-lun2,d80-s1-pm2,10.93.96.52,10.93.96.1
d80-s1pm2-vm13,d80-s1-lun2,d80-s1-pm2,10.93.96.53,10.93.96.1
d80-s1pm2-vm14,d80-s1-lun2,d80-s1-pm2,10.93.96.54,10.93.96.1
d80-s1pm2-vm15,d80-s1-lun2,d80-s1-pm2,10.93.96.55,10.93.96.1
d80-s1pm2-vm16,d80-s1-lun2,d80-s1-pm2,10.93.96.56,10.93.96.1
d80-s1pm2-vm17,d80-s1-lun2,d80-s1-pm2,10.93.96.57,10.93.96.1
d80-s1pm2-vm18,d80-s1-lun2,d80-s1-pm2,10.93.96.58,10.93.96.1
d80-s1pm2-vm19,d80-s1-lun2,d80-s1-pm2,10.93.96.59,10.93.96.1
d80-s1pm2-vm20,d80-s1-lun2,d80-s1-pm2,10.93.96.60,10.93.96.1
d80-s1pm3-vm01,d80-s1-lun3,d80-s1-pm3,10.93.96.61,10.93.96.1
d80-s1pm3-vm02,d80-s1-lun3,d80-s1-pm3,10.93.96.62,10.93.96.1
d80-s1pm3-vm03,d80-s1-lun3,d80-s1-pm3,10.93.96.63,10.93.96.1
d80-s1pm3-vm04,d80-s1-lun3,d80-s1-pm3,10.93.96.64,10.93.96.1
d80-s1pm3-vm05,d80-s1-lun3,d80-s1-pm3,10.93.96.65,10.93.96.1
d80-s1pm3-vm06,d80-s1-lun3,d80-s1-pm3,10.93.96.66,10.93.96.1
d80-s1pm3-vm07,d80-s1-lun3,d80-s1-pm3,10.93.96.67,10.93.96.1
d80-s1pm3-vm08,d80-s1-lun3,d80-s1-pm3,10.93.96.68,10.93.96.1
d80-s1pm3-vm09,d80-s1-lun3,d80-s1-pm3,10.93.96.69,10.93.96.1
d80-s1pm3-vm10,d80-s1-lun3,d80-s1-pm3,10.93.96.70,10.93.96.1
d80-s1pm3-vm11,d80-s1-lun3,d80-s1-pm3,10.93.96.71,10.93.96.1
d80-s1pm3-vm12,d80-s1-lun3,d80-s1-pm3,10.93.96.72,10.93.96.1
d80-s1pm3-vm13,d80-s1-lun3,d80-s1-pm3,10.93.96.73,10.93.96.1
d80-s1pm3-vm14,d80-s1-lun3,d80-s1-pm3,10.93.96.74,10.93.96.1
d80-s1pm3-vm15,d80-s1-lun3,d80-s1-pm3,10.93.96.75,10.93.96.1
d80-s1pm3-vm16,d80-s1-lun3,d80-s1-pm3,10.93.96.76,10.93.96.1
d80-s1pm3-vm17,d80-s1-lun3,d80-s1-pm3,10.93.96.77,10.93.96.1
d80-s1pm3-vm18,d80-s1-lun3,d80-s1-pm3,10.93.96.78,10.93.96.1
d80-s1pm3-vm19,d80-s1-lun3,d80-s1-pm3,10.93.96.79,10.93.96.1
d80-s1pm3-vm20,d80-s1-lun3,d80-s1-pm3,10.93.96.80,10.93.96.1
d80-s1pm4-vm01,d80-s1-lun4,d80-s1-pm4,10.93.96.81,10.93.96.1
d80-s1pm4-vm02,d80-s1-lun4,d80-s1-pm4,10.93.96.82,10.93.96.1
d80-s1pm4-vm03,d80-s1-lun4,d80-s1-pm4,10.93.96.83,10.93.96.1
d80-s1pm4-vm04,d80-s1-lun4,d80-s1-pm4,10.93.96.84,10.93.96.1
d80-s1pm4-vm05,d80-s1-lun4,d80-s1-pm4,10.93.96.85,10.93.96.1
d80-s1pm4-vm06,d80-s1-lun4,d80-s1-pm4,10.93.96.86,10.93.96.1
d80-s1pm4-vm07,d80-s1-lun4,d80-s1-pm4,10.93.96.87,10.93.96.1
d80-s1pm4-vm08,d80-s1-lun4,d80-s1-pm4,10.93.96.88,10.93.96.1
d80-s1pm4-vm09,d80-s1-lun4,d80-s1-pm4,10.93.96.89,10.93.96.1
d80-s1pm4-vm10,d80-s1-lun4,d80-s1-pm4,10.93.96.90,10.93.96.1
d80-s1pm4-vm11,d80-s1-lun4,d80-s1-pm4,10.93.96.91,10.93.96.1
d80-s1pm4-vm12,d80-s1-lun4,d80-s1-pm4,10.93.96.92,10.93.96.1
